id,text,author,source,domain,added
1,"A man is literally what he thinks, his character being the complete sum of all his thoughts.",James Allen,As a Man Thinketh Ch.1,personal_growth,2026-03-06
2,"Men do not attract that which they want, but that which they are.",James Allen,As a Man Thinketh Ch.2,personal_growth,2026-03-06
3,"Circumstance does not make the man, it reveals him to himself.",James Allen,As a Man Thinketh Ch.2,mental,2026-03-06
4,"As he thinks, so he is; as he continues to think, so he remains.",James Allen,As a Man Thinketh Ch.5,addiction,2026-03-06
5,"Act is the blossom of thought, and joy and suffering are its fruits.",James Allen,As a Man Thinketh Ch.1,mental,2026-03-06
6,"Thought rapidly crystallizes into habit, and habit solidifies into circumstance.",James Allen,As a Man Thinketh Ch.2,addiction,2026-03-06
7,"Until thought is linked with purpose there is no intelligent accomplishment.",James Allen,As a Man Thinketh Ch.4,career,2026-03-06
8,"The will to do springs from the knowledge that we can do. Doubt and fear are the great enemies of knowledge.",James Allen,As a Man Thinketh Ch.4,career,2026-03-06
9,"The greatest achievement was at first and for a time a dream. The oak sleeps in the acorn, the bird waits in the egg.",James Allen,As a Man Thinketh Ch.6,personal_growth,2026-03-06
10,"Let a man radically alter his thoughts, and he will be astonished at the rapid transformation it will effect in the material conditions of his life. Men imagine that thought can be kept secret, but it cannot, it rapidly crystallizes into habit, and habit solidifies into circumstance. Bestial thoughts crystallize into habits of drunkenness and sensuality, which solidify into circumstances of destitution and disease. Impure thoughts of every kind crystallize into enervating and confusing habits, which solidify into distracting and adverse circumstances. Thoughts of fear, doubt, and indecision crystallize into weak, unmanly, and irresolute habits, which solidify into circumstances of failure, indigence, and slavish dependence. Lazy thoughts crystallize into habits of uncleanliness and dishonesty, which solidify into circumstances of foulness and beggary. Hateful and condemnatory thoughts crystallize into habits of accusation and violence, which solidify into circumstances of injury and persecution. Selfish thoughts of all kinds crystallize into habits of self-seeking, which solidify into circumstances more or less distressing. On the other hand, beautiful thoughts of all kinds crystallize into habits of grace and kindliness, which solidify into genial and sunny circumstances. Pure thoughts crystallize into habits of temperance and self-control, which solidify into circumstances of repose and peace. Thoughts of courage, self-reliance, and decision crystallize into manly habits, which solidify into circumstances of success, plenty, and freedom. Energetic thoughts crystallize into habits of cleanliness and industry, which solidify into circumstances of pleasantness. Gentle and forgiving thoughts crystallize into habits of gentleness, which solidify into protective and preservative circumstances. Loving and unselfish thoughts crystallize into habits of self-forgetfulness for others, which solidify into circumstances of sure and abiding prosperity and true riches.",James Allen,As a Man Thinketh Ch.2,personal_growth,2026-03-08
11,"Until thought is linked with purpose there is no intelligent accomplishment. With the majority the bark of thought is allowed to 'drift' upon the ocean of life. Aimlessness is a vice, and such drifting must not continue for him who would steer clear of catastrophe and destruction. They who have no central purpose in their life fall an easy prey to petty worries, fears, troubles, and self-pityings, all of which are indications of weakness, which lead, just as surely as deliberately planned sins, though by a different route, to failure, unhappiness, and loss. For weakness cannot persist in a power evolving universe.",James Allen,As a Man Thinketh Ch.4,personal_growth,2026-03-08
12,"He should make this purpose the centralizing point of his thoughts. It may take the form of a spiritual ideal, or it may be a worldly object, according to his nature at the time being, which whichever it is, he should steadily focus his thought-forces upon the object, which he has set before him. He should make this purpose his supreme duty, and should devote himself to its attainment, not allowing his thoughts to wander away into ephemeral fancies, longings, and imaginings. This is the royal road to self-control and true concentration of thought.",James Allen,As a Man Thinketh Ch.4,personal_growth,2026-03-08
13,"Those who are not prepared for the apprehension of a great purpose should fix the thoughts upon the faultless performance of their duty, no matter how insignificant their task may appear. Only in this way can the thoughts be gathered and focused, and resolution and energy be developed, which being done, there is nothing which may not be accomplished.",James Allen,As a Man Thinketh Ch.4,personal_growth,2026-03-08
14,"Doubts and fears should be rigorously excluded, they are disintegrating elements, which break up the straight line of effort, rendering it crooked, ineffectual, useless. Thoughts of doubt and fear never accomplished anything, and never can. They always lead to failure. Purpose, energy, power to do, and all strong thoughts cease when doubt and fear creep in.",James Allen,As a Man Thinketh Ch.4,personal_growth,2026-03-08
15,"Thought allied fearlessly to purpose becomes creative force. He who knows this is ready to become something higher and stronger than a mere bundle of wavering thoughts and fluctuating sensations. He who does this has become the conscious and intelligent wielder of his mental powers.",James Allen,As a Man Thinketh Ch.4,personal_growth,2026-03-08
