date,workout,exercise,set,weight,reps,notes
2026-02-26,A,lat_pulldown,1,121,10,warm-up
2026-02-26,A,lat_pulldown,2,121,10,
2026-02-26,A,squat,1,90,10,
2026-02-26,A,incline_bench,1,,,warm-up
2026-02-26,A,incline_bench,2,155,7,
2026-02-26,A,incline_bench,3,155,8,
2026-02-26,A,squat,2,90,8,
2026-02-26,A,incline_bench,4,155,5,
2026-02-26,A,lat_pulldown,3,143,5,
2026-02-26,A,squat,3,90,10,
2026-02-27,,squat,1,90,10,
2026-02-27,,squat,2,90,10,
2026-02-27,,squat,3,110,6,
2026-02-27,,barbell_row,1,90,10,
2026-02-27,,barbell_row,2,90,10,
2026-02-27,,barbell_row,3,110,6,
2026-02-27,,bench,1,165,8,
2026-02-27,,bench,2,165,8,
2026-02-27,,bench,3,165,6,
2026-03-01,C,rdl,1,60,10,warmup
2026-03-01,C,bench,1,135,7,
2026-03-01,C,rdl,2,110,10,
2026-03-01,C,bench,2,185,5,
2026-03-01,C,lat_pulldown,1,143,9,
2026-03-01,C,rdl,2,110,12,
2026-03-01,C,bench,2,175,5,
2026-03-01,C,lat_pulldown,2,148,9,
2026-03-01,C,rdl,3,135,11,final set
2026-03-01,C,lat_pulldown,3,145,8,final set
2026-03-01,C,bench,3,175,5,final set
2026-03-01,C,leg_raises,1,,10,accessory
2026-03-01,C,stair_stepper,1,,0,5 min cardio
